"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年9月7日","91.14","90.80","93.47","90.43","6.80M","6.04%"
"2021年9月3日","85.95","84.93","87.26","84.55","3.03M","2.65%"
"2021年9月2日","83.73","85.47","86.48","82.46","4.26M","-0.98%"
"2021年9月1日","84.56","82.52","87.49","81.75","9.11M","5.40%"
"2021年8月31日","80.23","76.27","80.24","75.11","7.37M","8.23%"
"2021年8月30日","74.13","70.20","74.62","70.00","7.34M","-1.59%"
"2021年8月27日","75.33","76.48","76.89","74.44","4.52M","-2.79%"
"2021年8月26日","77.49","77.63","79.32","76.56","4.66M","-2.68%"
"2021年8月25日","79.62","76.40","79.89","76.13","5.36M","1.54%"
"2021年8月24日","78.41","75.19","78.80","75.00","9.79M","11.82%"
"2021年8月23日","70.12","68.81","71.50","67.57","6.91M","5.38%"
"2021年8月20日","66.54","65.13","70.49","65.11","7.48M","3.44%"
"2021年8月19日","64.33","65.27","66.68","61.63","9.14M","-6.03%"
"2021年8月18日","68.46","70.35","70.35","66.51","4.17M","1.00%"
"2021年8月17日","67.78","66.50","69.58","64.15","8.00M","-2.42%"
"2021年8月16日","69.46","71.93","72.52","69.10","6.54M","-6.26%"
"2021年8月13日","74.10","78.27","78.27","73.81","6.63M","-7.31%"
"2021年8月12日","79.94","79.30","80.33","77.88","4.33M","-0.54%"
"2021年8月11日","80.37","80.61","81.08","78.22","3.70M","0.22%"
"2021年8月10日","80.19","84.70","85.01","79.81","6.80M","-2.21%"
"2021年8月9日","82.00","79.72","83.15","76.33","3.98M","4.22%"
"2021年8月6日","78.68","80.70","81.34","77.56","4.79M","-2.07%"
"2021年8月5日","80.34","80.11","81.47","78.83","5.89M","-3.10%"
"2021年8月4日","82.91","84.68","86.09","82.10","3.66M","-1.30%"
"2021年8月3日","84.00","83.40","84.82","81.20","7.14M","-7.06%"
"2021年8月2日","90.38","85.04","92.49","85.00","4.78M","5.61%"
"2021年7月30日","85.58","83.44","86.37","82.74","5.44M","-4.25%"
"2021年7月29日","89.38","93.38","93.58","88.77","5.80M","-3.44%"
"2021年7月28日","92.56","86.99","95.95","86.99","10.07M","11.88%"
"2021年7月27日","82.73","80.63","85.42","79.13","15.41M","-5.41%"
"2021年7月26日","87.46","87.79","91.27","85.98","12.30M","-8.14%"
"2021年7月23日","95.21","100.04","100.55","90.81","15.42M","-12.38%"
"2021年7月22日","108.66","112.60","112.60","107.91","6.76M","-5.99%"
"2021年7月21日","115.58","110.53","116.18","110.20","2.85M","3.27%"
"2021年7月20日","111.92","108.33","112.50","106.99","1.86M","3.17%"
"2021年7月19日","108.48","106.08","108.92","104.43","2.29M","-0.49%"
"2021年7月16日","109.01","110.93","111.50","108.17","1.58M","-1.01%"
"2021年7月15日","110.12","109.25","114.17","108.48","3.38M","1.41%"
"2021年7月14日","108.59","111.50","111.50","107.91","2.19M","-1.62%"
"2021年7月13日","110.38","110.34","112.64","108.24","4.02M","3.18%"
"2021年7月12日","106.98","107.35","108.25","104.50","2.36M","0.22%"
"2021年7月9日","106.74","105.06","107.10","102.30","8.20M","6.53%"
"2021年7月8日","100.20","100.68","101.39","97.98","5.98M","-3.64%"
"2021年7月7日","103.98","110.20","111.18","103.08","4.71M","-4.31%"
"2021年7月6日","108.66","113.00","113.35","107.90","5.95M","-9.13%"
"2021年7月2日","119.58","119.03","122.43","117.28","2.16M","-1.26%"
"2021年7月1日","121.11","122.57","124.39","118.70","2.75M","-0.60%"
"2021年6月30日","121.84","123.60","124.00","121.75","1.67M","-2.96%"
"2021年6月29日","125.56","124.34","126.90","121.93","2.77M","-1.02%"
"2021年6月28日","126.85","127.60","129.21","123.60","2.69M","1.93%"
"2021年6月25日","124.45","122.50","128.70","121.26","7.14M","2.35%"
"2021年6月24日","121.59","115.96","121.97","115.96","4.59M","6.32%"
"2021年6月23日","114.36","110.33","116.89","110.33","2.87M","3.84%"
"2021年6月22日","110.13","110.10","111.02","108.92","4.69M","-3.04%"
"2021年6月21日","113.58","117.11","117.75","111.83","3.09M","-4.05%"
"2021年6月18日","118.38","114.86","119.19","114.59","10.61M","3.49%"
"2021年6月17日","114.39","110.60","114.99","110.52","2.54M","2.64%"
"2021年6月16日","111.45","108.60","112.10","108.60","2.77M","0.31%"
"2021年6月15日","111.11","113.92","114.00","110.73","1.97M","-3.76%"
"2021年6月14日","115.45","111.70","116.79","111.70","3.61M","3.63%"
"2021年6月11日","111.41","110.62","112.12","109.91","2.71M","-0.71%"
"2021年6月10日","112.21","107.31","112.50","106.60","3.52M","4.83%"
"2021年6月9日","107.04","108.90","110.90","107.04","1.92M","-0.66%"
"2021年6月8日","107.75","105.30","108.90","105.30","2.75M","2.98%"
"2021年6月7日","104.63","106.67","107.18","103.51","2.44M","-3.95%"
"2021年6月4日","108.93","106.78","109.25","105.63","2.45M","3.51%"
"2021年6月3日","105.24","109.08","109.11","105.11","3.50M","-5.98%"
"2021年6月2日","111.93","114.25","115.90","110.18","3.64M","-1.41%"
"2021年6月1日","113.53","111.04","114.99","110.42","5.11M","5.92%"
"2021年5月28日","107.18","102.94","108.25","102.49","3.64M","3.06%"
"2021年5月27日","104.00","104.26","104.57","99.98","8.59M","0.39%"
"2021年5月26日","103.60","104.33","104.91","102.68","5.07M","1.10%"
"2021年5月25日","102.47","104.58","104.74","101.59","4.08M","1.27%"
"2021年5月24日","101.18","102.63","103.75","100.94","5.13M","-1.22%"
"2021年5月21日","102.43","103.54","103.99","101.59","3.19M","-0.36%"
"2021年5月20日","102.80","104.50","107.02","101.61","5.08M","0.33%"
"2021年5月19日","102.46","97.33","102.92","97.33","2.87M","1.39%"
"2021年5月18日","101.06","99.75","104.40","99.67","3.79M","2.87%"
"2021年5月17日","98.24","96.34","99.89","95.01","4.56M","1.41%"
"2021年5月14日","96.87","91.00","98.00","89.34","7.45M","10.72%"
"2021年5月13日","87.49","96.99","99.50","84.44","9.33M","-6.83%"
"2021年5月12日","93.90","98.34","98.34","92.89","5.54M","-4.04%"
"2021年5月11日","97.85","92.11","98.26","91.00","3.81M","3.39%"
"2021年5月10日","94.64","98.45","98.99","93.42","6.19M","-6.91%"
"2021年5月7日","101.67","105.48","105.90","100.60","2.97M","-2.34%"
"2021年5月6日","104.11","105.15","106.47","101.11","3.16M","-0.91%"
"2021年5月5日","105.07","106.61","108.85","104.52","2.38M","-1.19%"
"2021年5月4日","106.34","106.77","108.58","103.77","4.03M","0.20%"
"2021年5月3日","106.13","110.13","110.25","105.42","3.76M","-4.27%"
"2021年4月30日","110.86","112.23","114.59","110.26","4.33M","-3.28%"
"2021年4月29日","114.62","120.38","120.64","112.79","4.08M","-4.99%"
"2021年4月28日","120.64","121.24","122.21","119.70","2.63M","0.40%"
"2021年4月27日","120.16","120.13","122.73","117.91","4.44M","1.44%"
"2021年4月26日","118.46","114.98","118.65","114.71","3.29M","1.54%"
"2021年4月23日","116.66","110.34","117.85","110.34","6.11M","7.87%"
"2021年4月22日","108.15","104.94","111.37","104.51","4.84M","3.83%"
"2021年4月21日","104.16","99.14","105.16","98.85","3.19M","3.50%"
"2021年4月20日","100.64","104.89","104.89","98.38","4.78M","-4.81%"
"2021年4月19日","105.72","104.02","107.88","103.72","3.28M","2.16%"
"2021年4月16日","103.48","103.65","103.99","102.12","2.58M","0.47%"
"2021年4月15日","103.00","103.76","104.10","101.44","2.70M","-0.04%"
"2021年4月14日","103.04","105.91","106.07","102.53","2.42M","-1.33%"
"2021年4月13日","104.43","104.01","105.29","101.62","2.40M","1.39%"
"2021年4月12日","103.00","103.13","104.00","101.30","2.71M","-2.65%"
"2021年4月9日","105.80","108.18","108.18","104.23","3.72M","-3.07%"
"2021年4月8日","109.15","110.11","110.86","108.15","2.63M","2.25%"
"2021年4月7日","106.75","109.72","110.44","106.20","7.21M","-6.48%"
"2021年4月6日","114.15","110.04","115.25","109.81","3.52M","3.38%"
"2021年4月5日","110.42","113.07","113.07","107.79","2.87M","-1.39%"
"2021年4月1日","111.98","113.09","117.88","110.85","5.50M","4.60%"
"2021年3月31日","107.06","107.52","108.37","104.20","4.57M","1.91%"
"2021年3月30日","105.05","101.99","107.21","100.20","5.81M","3.46%"
"2021年3月29日","101.54","99.33","104.01","98.10","15.29M","4.59%"
"2021年3月26日","97.08","95.49","101.74","91.26","9.64M","1.50%"
"2021年3月25日","95.65","90.86","96.86","90.00","6.91M","-0.05%"
"2021年3月24日","95.70","104.85","106.00","94.59","14.21M","-9.71%"
"2021年3月23日","105.99","105.65","107.26","105.00","5.33M","-0.83%"
"2021年3月22日","106.88","110.20","110.25","104.46","5.60M","-1.82%"
"2021年3月19日","108.86","108.95","111.20","107.12","3.87M","0.04%"
"2021年3月18日","108.82","110.50","113.33","108.42","3.62M","-2.27%"
"2021年3月17日","111.35","111.20","112.14","103.78","7.73M","-1.73%"
"2021年3月16日","113.31","116.24","119.74","111.85","7.71M","1.49%"
"2021年3月15日","111.65","107.99","112.66","107.90","3.43M","1.51%"
"2021年3月12日","109.99","106.03","110.86","105.75","4.19M","-0.41%"
"2021年3月11日","110.44","112.76","114.30","108.13","9.07M","7.12%"
"2021年3月10日","103.10","110.28","112.57","101.85","9.29M","-4.00%"
"2021年3月9日","107.40","106.85","110.61","105.37","11.67M","8.94%"
"2021年3月8日","98.59","111.09","114.00","97.45","16.41M","-17.04%"
"2021年3月5日","118.84","128.39","128.39","110.00","12.05M","-6.17%"
"2021年3月4日","126.66","132.99","136.00","122.00","11.33M","-8.73%"
"2021年3月3日","138.78","140.91","145.67","137.16","5.68M","0.61%"
"2021年3月2日","137.94","139.96","144.36","137.22","4.72M","-4.65%"
"2021年3月1日","144.67","132.99","145.25","130.59","8.03M","14.84%"
"2021年2月26日","125.97","132.04","136.09","121.09","9.15M","-4.45%"
"2021年2月25日","131.84","141.80","147.04","130.49","18.43M","3.70%"
"2021年2月24日","127.14","126.70","128.65","118.83","6.65M","-1.64%"
"2021年2月23日","129.26","125.15","129.83","115.00","9.04M","0.12%"
"2021年2月22日","129.11","135.00","139.92","128.22","7.58M","-10.09%"
"2021年2月19日","143.60","146.89","151.79","141.97","4.79M","0.09%"
"2021年2月18日","143.47","140.00","144.24","139.22","3.90M","-2.30%"
"2021年2月17日","146.84","149.35","153.44","143.82","4.58M","-1.34%"
"2021年2月16日","148.84","156.18","156.91","145.39","5.42M","-2.80%"
"2021年2月12日","153.12","144.98","155.04","144.70","2.66M","3.10%"
"2021年2月11日","148.52","156.28","157.61","148.47","4.83M","-5.02%"
"2021年2月10日","156.37","135.50","157.54","133.75","12.31M","11.60%"
"2021年2月9日","140.12","143.51","146.88","138.39","5.74M","-2.72%"
"2021年2月8日","144.04","141.00","146.21","140.50","4.50M","3.64%"
"2021年2月5日","138.98","143.30","144.04","134.22","6.69M","-2.52%"
"2021年2月4日","142.57","149.88","149.88","140.20","9.31M","5.46%"
"2021年2月3日","135.19","132.57","136.48","129.50","6.21M","4.01%"
"2021年2月2日","129.98","127.50","131.99","123.59","6.23M","6.86%"
"2021年2月1日","121.64","120.31","122.11","116.93","8.45M","6.80%"
"2021年1月29日","113.89","118.38","119.88","113.33","9.86M","-4.29%"
"2021年1月28日","119.00","119.91","124.74","117.01","8.16M","-1.19%"
"2021年1月27日","120.43","121.41","125.03","116.70","7.90M","-4.42%"
"2021年1月26日","126.00","132.95","133.00","125.13","5.58M","-6.16%"
"2021年1月25日","134.27","142.75","144.41","129.70","8.58M","0.39%"
"2021年1月22日","133.75","123.47","134.07","122.80","6.81M","7.97%"
"2021年1月21日","123.88","129.15","130.50","121.76","5.94M","-3.07%"
"2021年1月20日","127.80","134.30","137.35","127.33","6.13M","-0.06%"
"2021年1月19日","127.88","127.58","134.09","126.37","7.76M","4.28%"
"2021年1月15日","122.63","125.47","126.71","120.00","4.52M","-0.48%"
"2021年1月14日","123.22","121.56","129.14","121.56","8.00M","3.28%"
"2021年1月13日","119.31","115.00","120.90","113.30","3.61M","3.35%"
"2021年1月12日","115.44","117.70","119.77","113.70","3.34M","2.64%"
"2021年1月11日","112.47","114.01","116.83","111.57","7.73M","-5.06%"
"2021年1月8日","118.47","114.74","120.80","113.98","9.47M","6.35%"
"2021年1月7日","111.40","105.77","112.50","105.77","7.37M","5.49%"
"2021年1月6日","105.60","100.17","108.02","98.80","8.36M","3.06%"
"2021年1月5日","102.46","97.01","103.65","96.51","9.70M","8.15%"
"2021年1月4日","94.74","90.79","96.05","90.79","7.91M","10.52%"
"2020年12月31日","85.72","94.40","94.40","85.10","11.63M","-9.15%"
"2020年12月30日","94.35","87.14","95.69","86.78","9.78M","14.43%"
"2020年12月29日","82.45","82.41","84.49","81.13","3.00M","1.31%"
"2020年12月28日","81.38","82.31","83.72","78.96","3.43M","-0.77%"
"2020年12月24日","82.01","81.71","83.23","78.60","3.53M","-0.93%"
"2020年12月23日","82.78","87.03","87.03","81.10","4.37M","-3.61%"
"2020年12月22日","85.88","89.85","90.10","84.89","3.56M","-1.97%"
"2020年12月21日","87.61","83.80","88.80","83.80","7.35M","3.46%"
"2020年12月18日","84.68","84.19","86.60","83.15","6.04M","3.03%"
"2020年12月17日","82.19","79.01","82.80","78.65","3.78M","4.26%"
"2020年12月16日","78.83","78.20","81.64","78.20","3.70M","2.83%"
"2020年12月15日","76.66","80.42","80.42","76.00","3.90M","-1.97%"
"2020年12月14日","78.20","78.13","80.83","77.10","5.02M","3.02%"
"2020年12月11日","75.91","76.49","81.98","75.19","9.42M","0.26%"
"2020年12月10日","75.71","72.46","75.90","71.98","4.29M","3.63%"
"2020年12月9日","73.06","77.27","77.27","71.90","6.39M","-2.97%"
"2020年12月8日","75.30","72.99","75.89","72.75","4.01M","3.79%"
"2020年12月7日","72.55","68.48","73.95","68.42","8.28M","7.02%"
"2020年12月4日","67.79","62.95","68.28","62.95","5.66M","8.76%"
"2020年12月3日","62.33","61.90","64.56","61.90","2.89M","0.87%"
"2020年12月2日","61.79","59.07","62.19","58.57","2.87M","1.59%"
"2020年12月1日","60.82","63.50","63.67","60.34","3.57M","-3.25%"
"2020年11月30日","62.86","63.45","65.04","61.76","4.79M","-3.08%"
"2020年11月27日","64.86","63.01","65.49","62.30","2.87M","4.60%"
"2020年11月25日","62.01","60.72","62.47","60.40","3.25M","-1.32%"
"2020年11月24日","62.84","63.61","64.39","61.98","4.22M","-0.76%"
"2020年11月23日","63.32","60.83","63.33","60.35","6.68M","5.53%"
"2020年11月20日","60.00","59.35","61.75","57.78","9.66M","2.63%"
"2020年11月19日","58.46","49.91","59.33","49.61","24.29M","22.17%"
"2020年11月18日","47.85","49.72","49.84","47.19","7.24M","-4.40%"
"2020年11月17日","50.05","50.09","51.10","49.09","3.89M","0.00%"
"2020年11月16日","50.05","49.40","51.00","49.17","6.93M","2.35%"
"2020年11月13日","48.90","46.35","49.06","46.22","6.03M","6.54%"
"2020年11月12日","45.90","45.59","46.50","43.96","5.04M","3.85%"
"2020年11月11日","44.20","44.23","45.65","43.66","5.30M","1.14%"
"2020年11月10日","43.70","45.48","45.48","42.75","8.13M","-5.08%"
"2020年11月9日","46.04","49.78","49.78","46.02","5.78M","-5.79%"
"2020年11月6日","48.87","46.05","48.94","45.10","7.05M","6.10%"
"2020年11月5日","46.06","49.05","49.10","44.65","8.59M","-4.36%"
"2020年11月4日","48.16","45.58","48.28","45.58","6.74M","7.93%"
"2020年11月3日","44.62","43.97","45.13","42.92","1.98M","0.36%"
"2020年11月2日","44.46","45.15","45.31","43.21","2.47M","-0.47%"
"2020年10月30日","44.67","45.40","46.69","44.32","2.88M","-3.75%"
"2020年10月29日","46.41","45.03","47.37","44.85","3.52M","4.60%"
"2020年10月28日","44.37","45.23","45.35","43.61","4.18M","-3.16%"
"2020年10月27日","45.82","45.02","45.97","44.79","2.79M","1.82%"
"2020年10月26日","45.00","43.78","45.00","43.78","2.78M","1.26%"
"2020年10月23日","44.44","45.40","45.47","43.93","4.76M","-1.90%"
"2020年10月22日","45.30","45.71","45.94","44.11","3.56M","0.31%"
"2020年10月21日","45.16","45.45","45.93","44.65","3.50M","-0.18%"
"2020年10月20日","45.24","44.25","45.48","44.11","3.08M","2.82%"
"2020年10月19日","44.00","44.00","45.14","43.79","3.95M","0.41%"
"2020年10月16日","43.82","44.69","44.69","43.33","3.45M","0.14%"
"2020年10月15日","43.76","43.35","44.07","43.07","3.62M","0.16%"
"2020年10月14日","43.69","46.71","46.73","43.61","8.15M","-8.33%"
"2020年10月13日","47.66","47.89","48.86","46.84","2.06M","-0.46%"
"2020年10月12日","47.88","49.30","49.56","47.47","3.17M","-1.12%"
"2020年10月9日","48.42","47.26","48.56","46.84","2.13M","3.91%"
"2020年10月8日","46.60","48.35","48.35","46.01","2.57M","-2.24%"
"2020年10月7日","47.67","48.10","48.70","47.50","3.13M","-1.04%"
"2020年10月6日","48.17","46.25","48.44","45.82","8.17M","6.81%"
"2020年10月5日","45.10","42.50","45.55","42.40","7.04M","7.89%"
"2020年10月2日","41.80","41.20","42.25","41.10","1.94M","-1.67%"
"2020年10月1日","42.51","42.35","43.01","41.71","3.06M","2.19%"
"2020年9月30日","41.60","40.76","42.35","40.61","2.88M","2.31%"
"2020年9月29日","40.66","41.88","41.88","40.41","2.85M","-2.75%"
"2020年9月28日","41.81","42.81","43.01","40.90","2.82M","-0.92%"
"2020年9月25日","42.20","41.66","42.45","41.22","2.58M","0.74%"
"2020年9月24日","41.89","41.25","42.26","40.41","3.31M","0.10%"
"2020年9月23日","41.85","43.05","43.15","41.23","2.66M","-3.37%"
"2020年9月22日","43.31","43.46","43.53","42.41","2.94M","0.51%"
"2020年9月21日","43.09","41.71","43.12","41.45","3.25M","0.02%"
"2020年9月18日","43.08","44.47","44.55","41.64","5.18M","-2.58%"
"2020年9月17日","44.22","42.85","44.23","42.55","3.49M","0.16%"
"2020年9月16日","44.15","45.54","45.62","43.74","3.19M","-2.73%"
"2020年9月15日","45.39","45.02","46.38","44.91","5.05M","3.28%"
"2020年9月14日","43.95","43.81","44.63","43.22","3.48M","2.16%"
"2020年9月11日","43.02","43.77","44.44","42.38","2.85M","0.12%"
"2020年9月10日","42.97","45.02","45.59","42.71","4.39M","-4.72%"
"2020年9月9日","45.10","45.00","45.53","44.11","2.91M","1.60%"
"2020年9月8日","44.39","44.65","45.57","43.02","6.34M","-5.59%"
"2020年9月4日","47.02","46.97","48.00","43.94","6.28M","-0.53%"
"2020年9月3日","47.27","48.80","49.21","46.54","5.70M","-7.10%"
"2020年9月2日","50.88","53.04","53.95","49.62","5.51M","-2.62%"
"2020年9月1日","52.25","48.22","52.62","47.91","10.17M","10.58%"
"2020年8月31日","47.25","47.26","49.83","46.77","7.71M","-0.30%"
"2020年8月28日","47.39","45.71","48.86","45.51","7.70M","4.98%"
"2020年8月27日","45.14","46.00","46.16","43.83","12.62M","-7.35%"
"2020年8月26日","48.72","47.37","49.98","47.37","7.25M","3.66%"
"2020年8月25日","47.00","45.87","47.28","45.16","5.18M","1.91%"
"2020年8月24日","46.12","46.34","48.33","45.64","5.65M","2.51%"
"2020年8月21日","44.99","44.57","45.62","44.55","2.83M","-0.18%"
"2020年8月20日","45.07","44.90","45.67","44.78","2.20M","-0.44%"
"2020年8月19日","45.27","44.99","45.79","44.38","3.07M","-0.09%"
"2020年8月18日","45.31","43.86","45.44","43.86","4.73M","4.18%"
"2020年8月17日","43.49","42.28","43.55","42.01","2.87M","4.59%"
"2020年8月14日","41.58","41.94","42.42","40.90","2.89M","-0.41%"
"2020年8月13日","41.75","41.52","42.19","41.14","3.81M","1.98%"
"2020年8月12日","40.94","40.58","41.39","40.30","2.64M","1.49%"
"2020年8月11日","40.34","41.31","41.31","40.17","3.67M","-1.61%"
"2020年8月10日","41.00","42.00","42.00","40.26","5.30M","-1.47%"
"2020年8月7日","41.61","42.71","43.20","40.77","7.23M","-6.37%"
"2020年8月6日","44.44","46.19","46.30","43.45","4.35M","-2.37%"
"2020年8月5日","45.52","45.96","46.19","44.95","3.72M","0.73%"
"2020年8月4日","45.19","45.98","46.56","44.58","4.52M","-1.82%"
"2020年8月3日","46.03","44.87","47.61","44.42","8.23M","5.62%"
"2020年7月31日","43.58","41.80","43.65","41.45","5.78M","5.52%"
"2020年7月30日","41.30","41.54","42.09","40.80","1.98M","-1.13%"
"2020年7月29日","41.77","41.35","42.31","41.10","3.12M","2.23%"
"2020年7月28日","40.86","41.81","42.55","40.78","2.82M","-1.11%"
"2020年7月27日","41.32","40.09","41.40","39.74","3.40M","3.04%"
"2020年7月24日","40.10","39.01","40.32","38.54","5.85M","-2.20%"
"2020年7月23日","41.00","43.22","43.46","40.62","6.64M","-3.10%"
"2020年7月22日","42.31","43.26","44.99","41.78","4.86M","-4.19%"
"2020年7月21日","44.16","43.80","45.33","43.72","7.57M","4.20%"
"2020年7月20日","42.38","42.15","42.58","40.81","5.15M","1.15%"
"2020年7月17日","41.90","42.25","42.58","41.53","3.44M","-1.50%"
"2020年7月16日","42.54","40.44","42.78","40.40","9.05M","-1.57%"
"2020年7月15日","43.22","44.56","44.62","42.68","4.29M","-1.73%"
"2020年7月14日","43.98","43.78","44.12","41.31","10.00M","-2.94%"
"2020年7月13日","45.31","48.29","49.35","45.00","6.85M","-4.71%"
"2020年7月10日","47.55","47.91","48.19","46.13","4.51M","-1.41%"
"2020年7月9日","48.23","49.29","49.50","46.71","7.37M","3.34%"
"2020年7月8日","46.67","47.77","48.34","45.12","7.15M","0.95%"
"2020年7月7日","46.23","45.09","46.56","43.50","9.30M","4.73%"
"2020年7月6日","44.14","51.05","51.12","43.41","22.25M","-8.39%"
"2020年7月2日","48.18","48.42","49.19","47.81","4.36M","2.18%"
"2020年7月1日","47.15","46.77","47.44","46.03","3.58M","1.79%"
"2020年6月30日","46.32","45.30","47.92","45.30","5.95M","1.80%"
"2020年6月29日","45.50","44.25","46.17","43.60","5.39M","2.20%"
"2020年6月26日","44.52","44.86","45.44","43.64","3.75M","-0.11%"
"2020年6月25日","44.57","43.53","44.61","43.49","2.62M","1.23%"
"2020年6月24日","44.03","44.76","44.89","42.57","5.07M","-1.37%"
"2020年6月23日","44.64","43.39","45.30","43.38","5.02M","4.08%"
"2020年6月22日","42.89","45.00","45.00","41.64","8.23M","-4.09%"
"2020年6月19日","44.72","44.19","45.95","43.65","15.15M","4.95%"
"2020年6月18日","42.61","41.79","42.78","40.70","7.09M","3.65%"
"2020年6月17日","41.11","39.34","41.99","39.09","6.37M","4.50%"
"2020年6月16日","39.34","39.67","39.95","38.33","6.40M","2.96%"
"2020年6月15日","38.21","35.06","38.53","35.02","7.57M","6.52%"
"2020年6月12日","35.87","34.98","36.01","34.29","5.59M","5.81%"
"2020年6月11日","33.90","34.11","35.13","33.59","4.04M","-4.45%"
"2020年6月10日","35.48","34.08","35.78","33.95","4.69M","4.75%"
"2020年6月9日","33.87","34.80","34.99","33.79","3.62M","-3.12%"
"2020年6月8日","34.96","34.70","35.68","34.40","5.14M","1.33%"
"2020年6月5日","34.50","33.90","34.54","33.11","5.92M","2.80%"
"2020年6月4日","33.56","33.99","34.48","33.29","4.18M","-1.73%"
"2020年6月3日","34.15","34.40","34.40","33.32","4.70M","-0.12%"
"2020年6月2日","34.19","33.43","34.20","32.44","5.90M","3.42%"
"2020年6月1日","33.06","32.35","33.32","32.35","4.42M","1.94%"
"2020年5月29日","32.43","30.86","32.77","30.44","19.16M","5.50%"
